description,code
Beschleunigte Blutkörperchensenkungsreaktion und Veränderungen der Plasmaviskosität,R70
Beschleunigte Blutkörperchensenkungsreaktion,R70.0
Veränderte Plasmaviskosität,R70.1
Veränderung der Erythrozyten,R71
"Veränderung der Leukozyten, anderenorts nicht klassifiziert",R72
Erhöhter Blutglukosewert,R73
Abnormer Glukosetoleranztest,R73.0
"Hyperglykämie, nicht näher bezeichnet",R73.9
Abnorme Serumenzymwerte,R74
Erhöhung der Transaminasenwerte und des Laktat-Dehydrogenase-Wertes [LDH],R74.0
Sonstige abnorme Serumenzymwerte,R74.8
Abnormer Wert nicht näher bezeichneter Serumenzyme,R74.9
Laborhinweis auf Humanes Immundefizienz-Virus [HIV],R75
Sonstige abnorme immunologische Serumbefunde,R76
Erhöhter Antikörpertiter,R76.0
Abnorme Reaktion auf Tuberkulintest,R76.1
Falsch-positiver serologischer Syphilistest,R76.2
Sonstige näher bezeichnete abnorme immunologische Serumbefunde,R76.8
"Abnormer immunologischer Serumbefund, nicht näher bezeichnet",R76.9
Sonstige Veränderungen der Plasmaproteine,R77
Veränderungen der Albumine,R77.0
Veränderungen der Globuline,R77.1
Veränderungen des Alpha-Fetoproteins,R77.2
Sonstige näher bezeichnete Veränderungen der Plasmaproteine,R77.8
Veränderung des prostataspezifischen Antigens [PSA],R77.80
Sonstige näher bezeichnete Veränderungen der Plasmaproteine,R77.88
"Veränderung eines Plasmaproteins, nicht näher bezeichnet",R77.9
"Nachweis von Drogen und anderen Substanzen, die normalerweise nicht im Blut vorhanden sind",R78
Nachweis von Alkohol im Blut,R78.0
Nachweis von Opiaten im Blut,R78.1
Nachweis von Kokain im Blut,R78.2
Nachweis von Halluzinogenen im Blut,R78.3
Nachweis sonstiger Drogen mit Abhängigkeitspotential im Blut,R78.4
Nachweis psychotroper Drogen im Blut,R78.5
Nachweis von Steroiden im Blut,R78.6
Nachweis eines abnormen Schwermetall-Blutwertes,R78.7
"Nachweis sonstiger näher bezeichneter Substanzen, die normalerweise nicht im Blut vorhanden sind",R78.8
"Nachweis einer nicht näher bezeichneten Substanz, die normalerweise nicht im Blut vorhanden ist",R78.9
Sonstige abnorme Befunde der Blutchemie,R79
Abnormer Mineral-Blutwert,R79.0
Sonstige näher bezeichnete abnorme Befunde der Blutchemie,R79.8
"Abnormer Befund der Blutchemie, nicht näher bezeichnet",R79.9
Lungenembolie,I26
Lungenembolie mit Angabe eines akuten Cor pulmonale,I26.0
Lungenembolie ohne Angabe eines akuten Cor pulmonale,I26.9
Sonstige pulmonale Herzkrankheiten,I27
Primäre pulmonale Hypertonie,I27.0
Kyphoskoliotische Herzkrankheit,I27.1
Sonstige näher bezeichnete sekundäre pulmonale Hypertonie,I27.2
Pulmonale Hypertonie bei chronischer Thromboembolie,I27.20
Sonstige näher bezeichnete sekundäre pulmonale Hypertonie,I27.28
Sonstige näher bezeichnete pulmonale Herzkrankheiten,I27.8
"Pulmonale Herzkrankheit, nicht näher bezeichnet",I27.9
Sonstige Krankheiten der Lungengefäße,I28
Arteriovenöse Fistel der Lungengefäße,I28.0
Aneurysma der A. pulmonalis,I28.1
Sonstige näher bezeichnete Krankheiten der Lungengefäße,I28.8
"Krankheit der Lungengefäße, nicht näher bezeichnet",I28.9
Rheumatisches Fieber ohne Angabe einer Herzbeteiligung,I00
Rheumatisches Fieber mit Herzbeteiligung,I01
Akute rheumatische Perikarditis,I01.0
Akute rheumatische Endokarditis,I01.1
Akute rheumatische Myokarditis,I01.2
Sonstige akute rheumatische Herzkrankheit,I01.8
"Akute rheumatische Herzkrankheit, nicht näher bezeichnet",I01.9
Rheumatische Chorea,I02
Rheumatische Chorea mit Herzbeteiligung,I02.0
Rheumatische Chorea ohne Herzbeteiligung,I02.9
Gutartige Mammadysplasie [Brustdrüsendysplasie],N60
Solitärzyste der Mamma,N60.0
Diffuse zystische Mastopathie,N60.1
Fibroadenose der Mamma,N60.2
Fibrosklerose der Mamma,N60.3
Ektasie der Ductus lactiferi,N60.4
Sonstige gutartige Mammadysplasien,N60.8
"Gutartige Mammadysplasie, nicht näher bezeichnet",N60.9
Entzündliche Krankheiten der Mamma [Brustdrüse],N61
Hypertrophie der Mamma [Brustdrüse],N62
Nicht näher bezeichnete Knoten in der Mamma [Brustdrüse],N63
Sonstige Krankheiten der Mamma [Brustdrüse],N64
Fissur und Fistel der Brustwarze,N64.0
Fettgewebsnekrose der Mamma,N64.1
Atrophie der Mamma,N64.2
