description,code
"['beschleunigt', 'Blut', 'Körper', 'Chensenkungs', 'Reaktion', 'Blutkörper', 'Körperchensenkungs', 'Chensenkungsreaktion', 'Veränderung', 'Plasma', 'Viskosität']",R70
"['beschleunigt', 'Blut', 'Körper', 'Chensenkungs', 'Reaktion', 'Blutkörper', 'Körperchensenkungs', 'Chensenkungsreaktion']",R70.0
"['verändert', 'Plasma', 'Viskosität']",R70.1
"['Veränderung', 'Erythrozyten']",R71
"['Veränderung', 'Leukozyten', 'ander', 'orts', 'klassifizieren']",R72
"['Erhöhter', 'Blutglukose', 'Wert']",R73
"['Abnormer', 'Gluko', 'Se', 'Toleranztest', 'Glukose', 'Setoleranztest']",R73.0
"['Hyper', 'Glykämie', 'nähern', 'bezeichnen']",R73.9
"['Abnorme', 'Serumen', 'Zymwerte']",R74
"['Erhöhung', 'Transaminasen', 'Wert', 'Laktat-', 'Dehydrogenase-', 'Wert', 'Laktat-dehydrogenase-', 'Dehydrogenase-wertes', '[']",R74.0
"['Sonstige', 'abnorm', 'Serumen', 'Zymwerte']",R74.8
"['Abnormer', 'Wert', 'nähern', 'bezeichnet', 'Serumen', 'Zyme']",R74.9
"['Labor', 'Hinweis', 'Humanes', 'Immun', 'De', 'Fizienz-', 'Virus', 'Immunde', 'Defizienz-', 'Fizienz-virus', '[']",R75
"['Sonstige', 'abnorm', 'immuno', 'logische', 'Serum', 'Befund']",R76
"['Erhöhter', 'Anti', 'Körper', 'Titer', 'Antikörper', 'Körpertiter']",R76.0
"['Abnorme', 'Reaktion', 'Tuber', 'Kulintest']",R76.1
"['Falsch-', 'positiv', 'sero', 'logisch', 'Syphilistest']",R76.2
"['Sonstige', 'nähern', 'bezeichnen', 'abnorm', 'immuno', 'logische', 'Serum', 'Befund']",R76.8
"['Abnormer', 'immuno', 'logisch', 'Serum', 'Befund', 'nähern', 'bezeichnen']",R76.9
"['Sonstige', 'Veränderung', 'Plasma', 'Protein']",R77
"['Veränderung', 'Albumine']",R77.0
"['Veränderung', 'Globuline']",R77.1
"['Veränderung', 'Alpha-', 'Feto', 'Protein', 'Alpha-feto', 'Fetoproteins']",R77.2
"['Sonstige', 'nähern', 'bezeichnen', 'Veränderung', 'Plasma', 'Protein']",R77.8
"['Veränderung', 'prostata', 'spezifisch', 'Antigen', '[']",R77.80
"['Sonstige', 'nähern', 'bezeichnen', 'Veränderung', 'Plasma', 'Protein']",R77.88
"['Veränderung', 'Plasma', 'Protein', 'nähern', 'bezeichnen']",R77.9
"['Nachweis', 'Droge', 'Substanz', 'normal', 'erweisen', 'Blut', 'vorhanden']",R78
"['Nachweis', 'Alkohol', 'Blut']",R78.0
"['Nachweis', 'Opiaten', 'Blut']",R78.1
"['Nachweis', 'Kokain', 'Blut']",R78.2
